"ActPntMan", 0x143b07dc8
"CSWeatherLotRegionMan", 0x143b066b0
"CSWindow", 0x1443276f0
"CSWordChecker", 0x143b15fb0
"CSWorldAiManager", 0x143aff170
"CSWorldGeomMan", 0x143b07708
"CSWorldMapPointMan", 0x143b0be20
"CSWorldNvmManager", 0x143b119a8
"CSWorldObjActMan", 0x143b056b0
"CSWorldSceneDrawParamManager", 0x143b0c648
"CSWorldTalkMan", 0x144327b60
"CSWorldWaypointManager", 0x143aff0e8
"DmgHitRecordMan", 0x143b03678
"DmgMan", 0x143b03710
"DpoRepository", 0x143b0fb68
"EneDatMan", 0x143b02c88
"EntityThumbnailMan", 0x143b213c0
"EsdRepository", 0x143b17328
"EventNonActiveBlockManager", 0x143b05ad8
"FaceGenMan", 0x143af9128
"FD4DebugMenuManager", 0x1445f9ca8
"FD4DelayDeleteManager", 0x1445fb000
"FD4EzDrawManager", 0x1445face0
"FD4FontManager", 0x1445faca0
"FD4HkClothClm2Repository", 0x1445fa160
"FD4HkClothCollidableDataRepository", 0x1445fac08
"FD4HkClothDataRepository", 0x1445fa180
"FD4HkClothManager", 0x1445fabe8
"FD4HkEzDrawRigidBodyDispBufferManager", 0x1445facf8
"FD4LoggerManager", 0x1445fae80
"FD4MqbRepository", 0x1445fac48
"FD4PadManager", 0x1445fab58
"FD4ParamdefRepository", 0x1445fa1e0
"FD4ParameterManager", 0x1445fad78
"FD4ParamNametdfRepository", 0x1445fad80
"FD4ParamRepository", 0x1445fada0
"FD4ParamtdfRepository", 0x1445fb248
"FD4PerfManager", 0x1445faf50
"FD4PerformanceManager", 0x1445faea0
"FD4RemoHkxRepository", 0x1445fac78
"FD4RemoManager", 0x1445fac28
"FD4RemoteUserInputSystem", 0x1445facb8
"FD4ReportSystem", 0x1445fae20
"FD4TaskManager", 0x1445fa0a0
"FfxRepository", 0x143b177c8
"FfxreslistRepository", 0x143b17918
"FlverRepository", 0x143b0efe8
"FontRepository", 0x143b0f138
"GeombndRepository", 0x143b16bd8
"GeomFlagSaveDataManager", 0x143b07800
"GeomhkxbndRepository", 0x143b16d28
"GeomNonActiveBlockManager", 0x143b07878
"GfxRepository", 0x143b17a68
"GpoRepository", 0x143b0fe08
"HkxpwvRepository", 0x143b14fb0
"HkxRepository", 0x143b15248
"HpoRepository", 0x143b0ff58
"IvInfoRepository", 0x143b0f3d8
"LockTgtMan", 0x143b07e48
"LuaDatMan", 0x143afe968
"LuaRepository", 0x143b17c28
"MapItemMan", 0x143b04d78
"MoWwiseMan", 0x143b1e648
"MpwRepository", 0x143b17fb8
"MsbRepository", 0x143b18268
"MsgTagMan", 0x143b18590
"MtdRepository", 0x143b0f6f0
"NetLocalDebugBufferQueue", 0x143b16030
"NvaRepository", 0x143b15398
"NvcRepository", 0x143b154e8
"OnavRepository", 0x143b1b418
"ParamRepository", 0x143b1b5e8
"PartsbndRepository", 0x143b17ec8
"PartsRelationinfobndRepository", 0x143b1c870
"PpoRepository", 0x143b100a8
"RendMan", 0x143b16630
"RumblebndRepository", 0x143b1cb88
"RumbleMan", 0x143b04df8
"ScaleformTexRepository", 0x143b1cc78
"ShaderbdleRepository", 0x143b0f928
"SmallBaseAttachPointMan", 0x143b06738
"SoloParamRepository", 0x143b1c760
"SoundEventCheckMan", 0x143b21008
"SystemParamRepository", 0x143b1bb90
"TexRepository", 0x143b10428
"TpfRepository", 0x143b10578
"UserConfig", 0x144323758
"UserMan", 0x1443237d8
"VpoRepository", 0x143b10268
"WanderGhostMan", 0x143b07c88
"WavbndRepository", 0x143b1ccf8
"WorldAreaTime", 0x143b067d8
"WorldAreaWeather", 0x143b06858
"WorldChrMan", 0x143b032f8
"WorldChrManDbg", 0x143b03588
"WorldHitMan", 0x143b07d58
"WorldMapMan", 0x143b07f90
"WorldPlayAreaManager", 0x143b07368
"WorldSfxMan", 0x143b0c6c8
"WorldSoundMan", 0x143b0ca50
